Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
H3P,10172,3862,3700
H3R,10108,3847,3591
H3S,33618,16188,14794
H3T,13009,7418,6510
H3V,6732,4518,4007
H3W,30766,13718,12706
H3X,24214,11454,10526
H3Y,9564,3665,3427
H3Z,11544,6609,5887
H4A,26362,13091,12124
H4B,20937,11150,10524
H4C,17301,10371,9492
H4E,30154,15696,14731
H4G,29860,16856,15812
H4H,18936,9482,8969
H4J,18075,7771,7341
H4K,11319,4158,4002
H4L,36216,15190,14174
H4M,12466,4896,4588
H4N,30199,12999,12070
H4P,9106,4787,4427
H4R,31132,12654,12130
H4S,567,226,216
H4T,0,2,1
H4V,20701,9834,9179
H4W,26359,11415,10709
H4X,6467,2654,2533
H7A,21639,7584,7460
H7B,2957,1077,1058
H7C,8816,3760,3509
H7E,26590,10345,10149
H7G,22054,9435,9075
H7H,13865,5078,5018
H7J,2161,905,875
H7K,22475,8406,8210
H7L,37893,13780,13556
H7M,27729,10868,10625
H7N,44641,21408,20354
H7P,37456,14684,14332
H7R,31001,11519,11256
H7S,7752,3332,3246
H7T,28213,12129,11491
H7V,23242,10593,9731
H7W,42580,17932,16908
H7X,27332,9843,9547
H7Y,9978,3442,3390
H8N,33207,14934,14145
H8P,22980,11083,10474
H8R,31491,14411,13602
H8S,25686,12363,11635
H8T,15270,7055,6834
H8Y,19915,7852,7625
H8Z,15127,5822,5637
H9A,15267,5392,5264
H9B,21104,7757,7578
H9C,11725,4211,4137
H9E,3190,1256,1208
H9G,15346,5852,5737
H9H,25097,9638,9377
H9J,21393,7684,7529
H9K,8898,3087,3027
H9P,3836,1547,1512
H9R,26002,10270,9918
H9S,22984,11143,10624
H9W,19277,6915,6753
H9X,9744,4057,3786
J0A,19149,9020,8239
J0B,65700,32981,28136
J0C,23445,10332,9786
J0E,51896,28558,23186
J0G,18624,9267,8497
J0H,52946,22956,22054
J0J,42141,19527,17743
J0K,149238,78999,67140
J0L,83316,34423,33387
J0M,25104,7885,6649
J0N,52112,20731,20252
J0P,42965,18635,17819
J0R,39041,21353,18062
J0S,34124,16563,14780
J0T,51466,42290,26033
J0V,27294,17146,12908
J0W,16608,11615,8138
J0X,48487,32403,21788
J0Y,29035,14125,12282
J0Z,34456,17493,15058
J1A,9132,4382,4115
J1C,6841,2822,2754
J1E,25866,13498,12658
J1G,19632,9625,9139
J1H,29653,17353,15597
J1J,15452,7824,7301
J1K,7435,4157,3450
J1L,16036,8523,8214
J1M,5923,3020,2624
J1N,35087,14900,14511
J1R,10960,4288,4219
J1S,7862,3638,3439
J1T,7993,4117,3873
J1X,33945,18571,15965
J1Z,5742,2269,2185
J2A,12264,5093,4951
J2B,33110,15949,15379
J2C,29991,15040,14608
J2E,4454,2052,1998
J2G,28297,14957,14406
J2H,22474,9256,9064
J2J,18341,8601,8428
J2K,18291,8632,8273
J2L,11381,6263,5073
J2M,7238,3091,2904
J2N,10149,4697,4446
J2R,10383,4516,4408
J2S,29943,15567,14684
J2T,17072,8076,7839
J2W,28762,11325,11166
J2X,20485,8758,8467
J2Y,5576,2226,2186
J3A,9136,5560,5362
J3B,33908,16383,15729
J3E,30045,11761,11609
J3G,33664,14303,14017
J3H,26673,10992,10804
J3L,53680,21567,21125
J3M,11345,4784,4683
J3N,17053,6635,6561
J3P,25025,12702,12149
J3R,14452,7314,7048
J3T,8620,3923,3752
J3V,26050,10566,10383
J3X,21198,8538,8412
J3Y,66364,27993,27238
J3Z,5774,1842,1830
J4B,41743,17733,17291
J4G,10010,4827,4727
J4H,15593,8582,8195
J4J,31102,15546,14958
J4K,27024,14003,13290
J4L,31866,14338,13859
J4M,13149,4989,4938
J4N,11382,5258,5123
J4P,11249,5771,5450
J4R,10674,5199,4973
J4S,6303,3166,3061
J4T,19718,9007,8698
J4V,17033,7541,7296
J4W,18191,7523,7320
J4X,19192,7471,7160
J4Y,25459,10222,9835
J4Z,28686,12061,11572
J5A,29922,11491,11301
J5B,8319,3557,3475
J5C,17347,7016,6909
J5J,18080,7490,7211
J5K,17740,6807,6632
J5L,22965,9534,9330
J5M,24005,9605,9279
J5N,169,83,74
J5R,49403,20269,19780
J5T,14425,5973,5838
J5V,7340,3857,3659
J5W,26780,10875,10662
J5X,8892,3699,3587
J5Y,30084,11237,11081
J5Z,28005,11799,11596
J6A,34313,14891,14646
J6E,46434,23104,22010
J6J,24855,10391,10083
J6K,25960,10021,9834
J6N,16014,7479,7276
J6R,14626,5472,5398
J6S,24765,12005,11480
J6T,18022,8957,8593
J6V,14621,5613,5479
J6W,32422,13677,13444
J6X,25257,9732,9590
J6Y,22926,8145,7976
J6Z,19627,7795,7639
J7A,14187,5368,5277
J7B,13068,4496,4434
J7C,46679,18343,17971
J7E,29356,13886,13298
J7G,17310,7383,7233
J7H,8185,3706,3583
J7J,27644,11847,11481
J7K,36960,14977,14770
J7L,14223,5313,5211
J7M,24708,8884,8753
J7N,33449,13660,13308
J7P,25226,11068,10849
J7R,37992,15804,15388
J7T,29584,10677,10522
J7V,69657,27935,27110
J7W,14751,5786,5640
J7X,5643,2453,2411
J7Y,27006,13774,13297
J7Z,30230,15464,14740
J8A,10669,5597,4683
J8B,14012,8002,6897
J8C,11667,7246,5754
J8E,11046,8848,5435
J8G,8209,5104,3821
J8H,15142,7901,7098
J8L,20056,9214,8552
J8M,13157,5389,5241
J8N,13833,7543,5609
J8P,35320,16341,15679
J8R,28947,11315,11050
J8T,37832,18592,17667
J8V,27274,10576,10223
J8X,11782,7174,6130
J8Y,23803,13386,12235
J8Z,14814,7798,7382
J9A,22508,10439,9944
J9B,7999,3375,3040
J9E,7664,4140,3708
J9H,32921,14045,13462
J9J,41342,16388,15717
J9L,14164,7211,6688
J9P,33008,15977,15113
J9T,13221,6222,5921
J9V,3409,1734,1579
J9X,22993,12407,11522
J9Y,10755,4455,4169
J9Z,7411,3717,3510
K0A,111626,43737,42226
K0B,21020,9489,8903
K0C,52838,22714,21675
K0E,39649,18426,16491
K0G,39862,19411,16330
K0H,47286,25346,19081
K0J,34322,19885,14903
K0K,115850,53153,47028
K0L,78142,48786,33068
K0M,53815,37422,23614
K1A,594,416,363
K1B,17769,6866,6707
K1C,37235,14312,14101
K1E,14508,5863,5787
K1G,35074,15333,14705
K1H,16306,7289,7008
K1J,28268,11423,11107
K1K,32046,15235,14445
K1L,18213,10797,9705
K1M,6764,3341,3050
K1N,26639,17122,14475
K1P,645,568,441
K1R,20343,12836,11580
K1S,31257,15662,14390
K1T,40054,13967,13649
K1V,57157,23359,22092
K1W,13825,4730,4634
K1X,4594,1575,1536
K1Y,20712,10737,10123
K1Z,22714,11642,10791
K2A,17156,7738,7491
K2B,33254,15737,15034
K2C,29359,13056,12395
K2E,20172,8461,8129
K2G,50692,18451,17934
K2H,26759,11530,10950
K2J,81863,27759,27343
K2K,24922,9716,9451
K2L,18739,7309,7199
K2M,28708,10069,9954
K2P,18825,14113,12550
K2R,1237,424,415
K2S,38903,13924,13709
K2T,11871,4064,3959
K2V,10486,3637,3508
K2W,8553,2665,2630
K4A,62125,22000,21481
K4B,4704,1741,1702
K4C,4538,1636,1599
K4K,16958,6763,6610
K4M,14380,5393,5221
K4P,10448,3551,3499
K4R,8740,3220,3179
K6A,12529,6325,6066
K6H,30440,14112,13512
K6J,17827,8263,7982
K6K,3452,1414,1396
K6T,690,264,261
K6V,28174,13705,13099
K7A,17575,7814,7530
K7C,20382,8631,8247
K7G,8740,4305,3924
K7H,16175,8360,7138
K7K,33705,16786,15480
K7L,19621,12191,9408
K7M,49268,22585,21679
