FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
H3J,9240,635389000,55012,68765
H3K,12000,780380000,52024,65031
H3L,16130,980879000,48648,60810
H3M,12360,578937000,37471,46839
H3N,23160,672866000,23241,29052
H3P,7930,946911000,95526,119408
H3R,7760,1115264000,114975,143719
H3S,25320,1113025000,35166,43958
H3T,10040,504918000,40232,50290
H3V,5550,246395000,35516,44395
H3W,23920,1073145000,35890,44863
H3X,18920,1693254000,71596,89495
H3Y,7550,2250519000,238464,298081
H3Z,9270,1233484000,106448,133061
H4A,20300,1592985000,62777,78472
H4B,16200,806186000,39811,49764
H4C,12970,765458000,47213,59017
H4E,23920,1063651000,35573,44467
H4G,23560,1159414000,39368,49211
H4H,15340,841398000,43879,54849
H4J,13620,565719000,33228,41535
H4K,9100,678106000,59613,74517
H4L,28770,1205825000,33529,41912
H4M,9950,569680000,45803,57254
H4N,23090,822925000,28511,35639
H4P,7300,415703000,45556,56945
H4R,23940,1729993000,57810,72263
H4S,460,62926000,109436,136795
H4T,80,32044000,320440,400550
H4V,16030,770273000,38440,48051
H4W,20230,1392475000,55065,68832
H4X,5190,484433000,74671,93339
H4Y,0,0,0,0
H4Z,0,0,0,0
H5A,0,0,0,0
H5B,80,7987000,79869,99837
H7A,16950,855913000,40396,50496
H7B,2240,118108000,42180,52726
H7C,6670,322002000,38620,48276
H7E,21640,1416919000,52380,65476
H7G,17670,848252000,38404,48005
H7H,11010,598215000,43466,54333
H7J,2140,124541000,46556,58196
H7K,18620,1086030000,46660,58325
H7L,30090,1804952000,47988,59985
H7M,23920,1228797000,41096,51371
H7N,35370,1620795000,36659,45824
H7P,30070,1645615000,43780,54726
H7R,24330,1313641000,43193,53992
H7S,6260,286736000,36643,45804
H7T,23320,1188301000,40764,50956
H7V,19480,738442000,30325,37907
H7W,34870,1532864000,35167,43959
H7X,22100,1358758000,49185,61482
H7Y,7760,613136000,63209,79012
H8N,27120,1115824000,32914,41143
H8P,18320,923575000,40330,50413
H8R,24110,994788000,33008,41260
H8S,19680,860892000,34995,43744
H8T,11850,769522000,51950,64938
H8Y,15270,736626000,38592,48240
H8Z,12370,587534000,37996,47496
H9A,12380,875194000,56555,70694
H9B,16980,882745000,41589,51987
H9C,9680,669401000,55321,69152
H9E,2600,210776000,64853,81067
H9G,12640,723834000,45812,57265
H9H,20430,1459052000,57133,71417
H9J,17940,1135967000,50656,63320
H9K,7140,458822000,51408,64260
H9P,3210,154101000,38404,48006
H9R,20670,1272333000,49243,61554
H9S,18770,1400490000,59690,74613
H9W,15450,1623845000,84082,105103
H9X,7850,689280000,70244,87806
J0A,15850,737917000,37244,46556
J0B,53970,2687676000,39839,49799
J0C,19440,856870000,35261,44077
J0E,44060,2388367000,43365,54207
J0G,15850,703604000,35512,44391
J0H,43620,2059478000,37771,47214
J0J,36120,1769444000,39189,48987
J0K,125180,5499385000,35144,43931
J0L,73200,3579113000,39115,48894
J0M,14780,413030000,22356,27945
J0N,31230,1649288000,42248,52811
J0P,35170,2073463000,47164,58955
J0R,33390,2174874000,52108,65135
J0S,28290,1342512000,37964,47455
J0T,42970,2246290000,41820,52275
J0V,22940,1010625000,35244,44055
J0W,14460,589817000,32631,40789
J0X,37880,1779403000,37579,46974
J0Y,22630,1431983000,50622,63278
J0Z,27830,1363384000,39191,48989
J1A,7740,332095000,34324,42906
J1C,5500,278867000,40562,50703
J1E,20270,830671000,32784,40980
J1G,16320,730848000,35825,44782
J1H,22210,845738000,30463,38079
J1J,12570,771062000,49072,61341
J1K,5700,249898000,35072,43841
J1L,13980,697108000,39891,49864
J1M,4590,220955000,38510,48138
J1N,28140,1618349000,46008,57510
J1R,8830,486251000,44054,55068
J1S,6410,293552000,36636,45795
J1T,6540,244625000,29923,37404
J1X,28650,1575818000,44001,55002
J1Z,4600,222734000,38736,48420
J2A,9890,481651000,38960,48700
J2B,26410,1269034000,38440,48051
J2C,25760,1219632000,37876,47345
J2E,3680,171648000,37314,46643
J2G,23800,941685000,31652,39566
J2H,18910,1106729000,46820,58526
J2J,15420,686743000,35628,44535
J2K,15180,679040000,35785,44732
J2L,9500,764332000,64364,80456
J2M,6180,376838000,48781,60977
J2N,8220,372267000,36229,45287
J2R,8690,451263000,41542,51928
J2S,24530,1119522000,36510,45638
J2T,14460,676161000,37408,46760
J2W,23720,1469872000,49573,61967
J2X,16550,853844000,41272,51591
J2Y,4600,260668000,45332,56666
J3A,7840,313124000,31951,39939
J3B,27550,1288030000,37401,46752
J3E,25220,1644427000,52162,65203
J3G,27460,1636321000,47671,59589
J3H,22080,1581069000,57284,71606
J3L,42070,2733144000,51972,64966
J3M,8880,446285000,40205,50257
J3N,13700,889208000,51924,64905
J3P,21660,995836000,36780,45975
J3R,12380,603566000,39002,48753
J3T,7120,342031000,38430,48038
J3V,21460,1880348000,70096,87621
J3X,17360,1129793000,52064,65080
J3Y,54200,2824386000,41688,52110
J3Z,4440,268095000,48304,60381
J4B,35460,2926461000,66022,82528
J4G,8180,507411000,49624,62030
J4H,12780,724610000,45358,56698
J4J,24410,1078176000,35335,44169
J4K,21240,919977000,34650,43313
J4L,25140,1077855000,34299,42874
J4M,10390,621214000,47831,59789
J4N,9730,787589000,64755,80944
J4P,8990,789422000,70248,87811
J4R,8600,781092000,72659,90824
J4S,5180,495643000,76546,95683
J4T,15340,636212000,33179,41474
J4V,13730,678919000,39557,49447
J4W,14940,686557000,36763,45954
J4X,16020,1062703000,53068,66336
J4Y,20370,1258579000,49428,61785
J4Z,22690,1168197000,41188,51485
J5A,24040,1336766000,44484,55605
J5B,6760,369525000,43730,54663
J5C,13980,725298000,41504,51881
J5J,14360,691580000,38528,48160
J5K,13470,757282000,44975,56219
J5L,18260,1006112000,44079,55099
J5M,18240,798550000,35024,43780
J5N,11100,521487000,37584,46980
J5R,39600,2884388000,58270,72838
J5T,12000,584497000,38966,48708
J5V,6260,237676000,30373,37967
J5W,21110,1143506000,43334,54168
J5X,7070,332973000,37676,47096
J5Y,23780,1395465000,46945,58682
J5Z,22950,1170609000,40804,51006
J6A,28970,1596621000,44089,55112
J6E,39080,1809701000,37045,46307
